1;H 50;;
2;H 60;;
3;H 70;;
4;H 80;;
5;H 90;;
6;H 100;;
7;X 10;;
8;X 12;;
9;X 16;;
10;X 20;;
11;X 8;;
12;X 6;;
13;X 9;;
14;H 55;;
15;X 4;;
16;H 40;;
17;X 15;;
18;X  60;;
19;X 70;;
20;X 80;;
21;X15;;
22;X 7;;
23;H 30;;
24;H 45;;
25;H 85;;
26;H 75;;
27;H 35;;
28;H 110;;
29;X25;;
30;X50;;
31;H 120;;
32;H 130;;
33;X 45;;
34;H 65;;
35;H 140;;
36;H 190;;
37;H 180;;
38;X 30;;
39;H 150;;
40;DIR;;
41;H 25;;
42;H 160;;
43;X5;;
44;X 40;;
45;X18;;
46;40 CM;;
47;30 CM;;
48;13 CM;;
49;50 CM;;
101;ROSA SCURO;;
102;BIANCO SPENTO;;
103;GIALLO SCURO;;
104;ARANCIO;;
105;ROSA CHIARO;;
106;ROSSO CHIARO;;
107;AZZURRO;;
108;VIOLA CHIARO;;
109;NERO;;
110;GIALLO;;
111;VERDE SCURO;;
112;BIANCO;;
113;MARRONE SCURO;;
114;ARANCIO CHIARO;;
115;GRIGIO SCURO;;
116;VIOLA;;
117;MARRONE;;
118;BEIGE;;
119;ROSSO;;
120;ROSA;;
121;GRIGIO CHIARO;;
122;VERDE;;
123;VIOLA SCURO;;
124;BLU;;
125;ARANCIO SCURO;;
126;VERDE CHIARO;;
127;BLU SCURO;;
128;GIALLO CHIARO;;
129;ROSSO SCURO;;
130;GRIGIO;;
131;X21;;
132;20CM;;
133;25CM;;
134;H 200;;
